,Xt_MPI 1,Xt_MPI 3,Xt_MPI 6
iM2,0.14867192101181673,0.27367619615233907,0.3297469250526485
iM1,0.15969937230526005,0.30379320731838066,0.3702003989748069
iAI,0.16888079988988505,0.32700906648725714,0.39690109723195977
iPrL,0.0705697061066396,0.16283123285549786,0.2305475225622842
iMO,0.0800830675094139,0.18425233879199227,0.25454070728655986
iVO,0.05346997757225139,0.1463882147949417,0.24873077651617384
iDP,0.029682864185837158,0.10807849893542615,0.19008994080845537
cM2,0.10114316030128179,0.20205345249813858,0.25417369687541
cM1,0.12579247622796258,0.2471604635331394,0.3081478728869119
cAI,0.10881849887084673,0.23009079256216827,0.2952355622058053
cPrL,0.041123047931264485,0.10150783132944731,0.15264607419299092
cMO,0.038054612322167135,0.10182784395135724,0.15594230531464254
cVO,0.02459937013296532,0.07437319746482184,0.13789000696266152
cDP,0.013622054613004928,0.07083397999179906,0.13973622964618015
iCg,0.14781651039596258,0.2650895065350615,0.31855801198067096
iM,0.13583317702026942,0.2749767188648262,0.3463757233893446
iS1,0.09454551199126669,0.24126772869303284,0.36620803951715375
iAI-b,0.13508659802561138,0.2324675117866668,0.28318955809448515
iCl,0.04488408848955345,0.146245391723229,0.2239177927702374
iDEn,0.002656611305699988,0.02102499696154878,0.06273601302042608
iPir,0.008244666325682978,0.045470732838693934,0.10647249891436412
iAcb,0.0007718604290673192,0.004055347050358541,0.011580226867270192
iot,0.0004885677418975157,0.0027022009631860414,0.006993369465355626
iCPu,0.9857616959991954,0.9619575255079219,0.932736912739192
iLS,0.0002532975337350256,0.001753286270537689,0.005280122152668423
iMS,0.0005990505095185704,0.004495673491595473,0.015070887436040969
cCg,0.035850518576525686,0.08905419617345137,0.13026905768507946
cM,0.10075079450682947,0.21415906094469736,0.27841124980167264
cS1,0.030503755784299216,0.10050806303131907,0.18072325865332742
cAI-b,0.05917875034753324,0.1252318112311311,0.16887516455615567
cCl,0.020083101518366227,0.07304930310778651,0.12391158526592323
cDEn,0.0003482068659521789,0.00485405347603132,0.019769330260798735
cPir,0.0027717425776377772,0.016412465134435637,0.0434600212832751
cAcb,0.00011051455116415661,0.0009012624792898288,0.0032511821794230277
cot,0.00021764078970615478,0.0012972168785750097,0.0035667543158628212
cCPu,0.0002195030219998639,0.0017651182964325165,0.005891852071469491
cLS,0.00014439768900261613,0.0010831121237541309,0.0034724358125276136
cMS,0.0011047978313718956,0.0061404689735068295,0.018463960085711783
iRSC,0.02045891561627955,0.07412136375302104,0.14790135669951743
iS1-b,0.07007401916447949,0.1894713995989413,0.30374703932649444
iS2,0.12561667783742347,0.28471859689840107,0.3952413173561752
iIns,0.0065525639497525335,0.039575962885603166,0.0948014922714872
iAIP,0.11002679164868635,0.24951789843740801,0.3356596114495443
iEn,0.009139178627920222,0.0516851157559739,0.11007258046490004
iHipp,0.000520568972053318,0.0035856471448622034,0.010732200029251602
iMDThal,0.06361377212110206,0.15287352356883524,0.2217929460988281
iLDThal,0.0033168940497539947,0.011522374955170639,0.02607358462611876
iVLThal,0.0029287634544838065,0.020940851770617757,0.06210860302427934
iVMThal,0.0011564464337284336,0.004549303347841054,0.010811676865823358
iTC,0.00014634307744469075,0.0008693099459324178,0.0024712643691340405
iCA,0.05435169806231803,0.13317590739331725,0.20100617120990177
iBLA,0.1839741968409114,0.28475862996364126,0.3200017107153546
iBMA,0.011834374068047531,0.0522456564635459,0.10336304829907404
cRSC,0.0048839677562538516,0.031105581065626036,0.07823890849318436
cS1-b,0.008721047950476596,0.04355641950499443,0.09600258972573728
cS2,0.015292616918228315,0.07897782287721751,0.15792029714580613
cIns,0.10055043409816884,0.2534347570817159,0.3892876529208997
cAIP,0.011990954865205856,0.0562502302155707,0.104924010342658
cEn,0.0017069519489739384,0.014859080914433135,0.041494386916483356
cHipp,0.00020352521451695411,0.0016584743616197045,0.005884741738118191
cMDThal,0.016346719478615695,0.047301390296016925,0.08016782423687355
cLDThal,0.0002158782494495354,0.0017543327908800886,0.006059899997539852
cVLThal,0.004875992023688848,0.021603167564584125,0.05564134554668146
cVMThal,0.000177234619755052,0.001276242657275729,0.003870058008543709
cTC,9.928656905083183e-05,0.0006074033458708027,0.001778666337348042
cCA,0.029353245386546156,0.07468098783049183,0.11712643434593799
cBLA,0.06531465019977423,0.11262418232512132,0.1385657500823071
cBMA,0.0042605514368066226,0.020394961970859903,0.04459797619291624
iRSC-b,0.013986968993848997,0.05441178411089959,0.11620329572740204
iV,0.059820914439341996,0.15630138314640382,0.2500338409294217
iAu,0.06036736745022825,0.1636584962981988,0.26043206838206595
iTeA,0.15515756964589714,0.3121237812595589,0.39206087492340597
iEct,0.004973128865370429,0.031195601435367027,0.08059630791714899
iPRh,0.1771088761814166,0.23209564166048055,0.26564729423124067
iLEnt,0.04143233607639506,0.10995430954872187,0.1721319773476568
iBLP,0.2660404841589453,0.3437074460680184,0.3623680602268595
iPMCo,0.0007844945780414753,0.007948251445682092,0.029533117737698837
iSC,0.00011502757738751098,0.0009640136691408933,0.0034088080523028558
iCauThal,0.002660399890530726,0.010351100423999152,0.0245739536112791
iSN,0.17560238615857202,0.3865059748860935,0.5181430834549258
iMamm,0.008358046919861589,0.02668000248680455,0.05341189918718256
iDpMe,0.003117308217127345,0.009257035959829062,0.018159515284561216
iVTA,0.011466655155939663,0.031520580575360314,0.05496918642729765
iPAG,4.509583776985021e-05,0.00035985241309877174,0.0012240044737464415
cRSC-b,0.0034134144841314203,0.022789339478005176,0.060732573741871854
cV,0.0067376696317085595,0.028580833377461833,0.0636910582418856
cAu,0.01793958909785228,0.06234081320008232,0.11858680306340784
cTeA,0.0579195975964986,0.132939709922788,0.1866795110233551
cEct,0.0018630328610028319,0.013239146118199138,0.038610550284128124
cPRh,0.11950812031724894,0.1629752792746823,0.19181593977037917
cLEnt,0.005986160264675469,0.02865062281262335,0.06047109080626797
cBLP,0.09439942408853691,0.13625660636725515,0.15588519175371487
cPMCo,0.0001633115647048696,0.002402961196530472,0.011023954818012516
cSC,4.925041557832727e-05,0.00048744321878538125,0.001968672260741596
cCauThal,0.00026401570716333623,0.001999830371732458,0.006460208724900768
cSN,0.00013483849640806905,0.0011845922902154076,0.004181634297340164
cMamm,0.0005830808557104073,0.004263565098272318,0.013003371786135353
cDpMe,5.6804963449539306e-06,5.566863197794237e-05,0.00023470484520713084
cVTA,0.003289509870363807,0.01048694489978047,0.021070430361967114
cPAG,0.00024016424354564184,0.0008132200301969649,0.0018544939461129823
iSuM,7.026185394852704e-05,0.0006865780767507009,0.002656879345382486
cSuM,0.00013930951396133376,0.001108065046699924,0.003737013043633881
iV-b,0.0292499116059792,0.08562062903979542,0.15479086393954866
iEnt,0.03187810105973329,0.09211131749527826,0.15347559047583648
iPS,0.001999109178090524,0.011072605990206479,0.032824567380138246
iRSA,0.03854632471583439,0.11759656707786736,0.19651932303667824
iSuC,1.0110054279170544e-05,8.69824054102554e-05,0.00032550283304736365
iIC,0.0005062249064375921,0.0018161227498271655,0.004100223383014113
iPnO,0.0001458589049683764,0.0010913664770478995,0.003502029097047665
cV-b,0.002620684862781535,0.01570993412077498,0.042843103696649704
cEnt,0.004769568115643273,0.024688114917622565,0.055357431449003666
cPS,0.0006611951941155614,0.006079686389492314,0.021699435033269193
cRSA,0.009458028452090527,0.05149278516133882,0.10844322410968842
cSuC,3.612347282453465e-06,3.471743494958551e-05,0.00014446874737926611
cIC,0.0004990627578512612,0.001624730666694615,0.0034510108457346707
cPnO,0.00018214393445029124,0.0013175717702913587,0.0041017140835647465
